Company,Team Strength,Sector,Location
Bevywise Networks,11-20,Manufacturing,Bangalore
Leisure Travels,11-20,Tourism,Kamrup Metropolitan
Dimension NXG,11-20,Education|AR VR,Thane
Pecspace India pvt ltd,11-20,Financial Inclusion,Haridwar
MSQube Technology Solutions Pvt. Ltd.,11-20,Healthcare|Environment Clean Tech|Food safety and infrastructure,Kolkata
Amazantz Solutions Private Limited,11-20,Education,Kolkata
Talento Consulting Private Limited,11-20,Education,South West Delhi
Ramalingam A,11-20,Food technology,Chennai
Happy Reliable Surgeries Pvt. Ltd.,11-20,Healthcare,Bangalore
ZMotion Autonomous Systems Private Limited,11-20,Agriculture|RandD in Defense and Civil Unmanned Aerial Systems,Bangalore
D Espat Pvt Ltd,11-20,Clean Energy Solution,Chennai
Kewiruangwang,11-20,online project,Peren
AKESTECH INFOTECH PRIVATE LIMITED,11-20,IT Software,Lucknow
SIVATEC SOLUTIONS,11-20,Software,Coimbatore
KAMBAA INCORPORATION,11-20,Agriculture|Software Development and Digital Marketing,Coimbatore
Navvinni Sports Private Limited,11-20,Sports,Medchal-Malkajgiri
Kinektec,11-20,Industrial-IoT,Panipat
MY3DSELFIE,11-20,3D Technology and 3D Printing,Kamrup Metropolitan
Openwater.in Private Limited,11-20,Environment Clean Tech,Bangalore
IDEEZ,11-20,Education,Tiruvallur
Brahmaputra Fables,11-20,Rural livelihoods and inclusion by digital technology,Kamrup Metropolitan
Ignitarium Technology Solutions Pvt. Ltd,11-20,Deep Learning - Multimedia,Ernakulam
Huwel Lifesciences Pvt. Ltd,11-20,Healthcare,Hyderabad
Unilogic Technologies Private Limited,11-20,Industrial Automation,Coimbatore
DESKNEED Science2home Pvt. Ltd.,11-20,Business Support Services,Kamrup Metropolitan
EyeROV IROV TECHNOLOGIES PVT LTD,11-20,Infrastructure Transport|Environment Clean Tech,Ernakulam
DeepSight AI Labs,11-20,Security and Safety - Video Surveillance,Bangalore
KATOMARAN TECHNOLOGY AND BUSINESS SOLUTIONS,11-20,IoT AI ML  Robotics,Coimbatore
Radome Technologies and Services Pvt Ltd,11-20,Aerospace and Defense,Bangalore
Greenturn Idea Factory Private Limited,11-20,Energy Management,Thrissur
Secundo Per Metre Online Solutions Private Limited,11-20,Automobile,Hyderabad
PlantShip,11-20,Environment Clean Tech|Green Technology,East Godavari
BYB parlour,11-20,Healthcare|BEAUTY AREA,Krishna
Betwala,11-20,Sports Affilaite,Mumbai City
MACLEC Technical Project Laboratory Pvt. Ltd.,11-20,Environment Clean Tech|Clean Energy Solution,New Delhi
Paradise Tour Travel and Allied Cargo,11-20,Financial Inclusion|Infrastructure Transport,Nainital
RIGHTMOVE COMMERCIAL PRIVATE LIMITED,11-20,Healthcare|Education|Financial Inclusion|Infrastructure Transport|Environment Clean Tech,Yavatmal
FENCER SERVICES PRIVATE LIMITED,11-20,Healthcare|IT SALES AND SERVICES,Pune
ADS And URL,11-20,Digital Marketing,North Delhi
Kaidoko Automation Solutions Pvt. Ltd,11-20,Education|AI in Psychological Technology,Gurugram
VDAI BioSec Private lImited,11-20,Healthcare|Education,Kanpur Nagar
REPARO PRIVATE LIMITED,11-20,DEFENCE AND AEROSPACE,Faridabad
Snapex Overseas - GARV Toilets,11-20,Environment Clean Tech|Water and Sanitation,Faridabad
ApnaPay,11-20,Financial Inclusion|Infrastructure Transport|Authentication and eKYC,Gautam Buddha Nagar
GEOCARTE RADAR TECHNOLOGY PVT. LTD.,11-20,Infrastructure Transport,Gandhinagar
Mizoram Consultancy Firm,11-20,Financial Inclusion|Environment Clean Tech,Aizawl
Autointelli System Pvt Ltd,11-20,Infrastructure Transport|Infrastructure automation,Chennai
Janitri Innovations Private Limited,11-20,Healthcare,Bangalore
UnivLabs Technologies Pvt Ltd,11-20,Healthcare,Gurugram
YuTu Electronics Pvt Ltd,11-20,Infrastructure Transport,Bangalore
Sastra Robotics India Private Limited,11-20,Robotics,Ernakulam
City Explorers Private Limited,11-20,Tourism and Immersive Local Experiences,New Delhi
Recubitech Private Limited,11-20,Agriculture|Environment Clean Tech,Tiruchirappalli
BookMyParts Networks Pvt. Ltd,11-20,supply chain of machine spare parts,Ahmedabad
TESTPAN INDIA PRIVATE LIMITED,11-20,Education|Infrastructure Transport,New Delhi
Amplitech Automation Private Limited,11-20,Education|Agriculture|Infrastructure Transport|Environment Clean Tech,Bhagalpur
Nara Technologies Pvt ltd OPC,11-20,Infrastructure Transport,Bangalore
Happy Adda Studios Pvt Ltd,11-20,Education,Bangalore
Vitor Healthsciences,11-20,Healthcare,Bangalore
Agsmartic,11-20,Agriculture,Gautam Buddha Nagar
Easemy Business Private Limited,11-20,Information Technology - We are Application Service Provider helping in GST Return Filing,Gurugram
Extravelmoney Technosol Private Limited,11-20,FinTech,Ernakulam
Robolab Technologies Pvt Ltd,11-20,Education|Environment Clean Tech,Pune
HOLY MARY INSTITUTE OF TECHNOLOGY & SCIENCE,11-20,Education,Medchal-Malkajgiri
AyanWorks Technology Solutions Private Limited,11-20,Healthcare|Education|Financial Inclusion,Pune
FOLIYOO TECHNOLOGIES PRIVATE LIMITED,1-10,Surface Transport|Logistics|Information Technology|software development,BALUGAON
Worksera,1-10,AI & Machine Learning,Bangalore
SHOPIVATE INDIA PVT LTD,1-10,eCommerce|Consumer Products & Devices,moradabad
Tarudhairya digital private limited,1-10,HealthTech,Patna
Consytel Life Sciences Pvt Ltd,1-10,Biotechnology|Drugs & Pharmaceuticals|AI & Machine Learning,Hyderabad
AdventureX Next Gen Innovative Technologies Private Limited,1-10,Sports|Surface Transport|Industrial Automation|Automobiles|AI & Machine Learning|BigData/Analytics|Agriculture|Advertising|AdTech|Intellectual Property Rights (IPR)|CleanTech|Technology|Safety and Security|Media & Entertainment|product development|production|Knowledge Management|electronics|Industrial Relations|Bio Fuels|Construction|Community|Human Resource Development|EduTech|Exports & Imports|AI/ML|Cybersecurity,Bhagalpur
AdventureX Next Gen Innovative Technologies Private Limited,1-10,Sports|Internet of Things|BigData/Analytics|Manufacturing|Surface Transport|AI & Machine Learning|Advertising|Agriculture|Automation|Industrial Automation|Automobiles,Bhagalpur
Amjad Ali Healthcare Private Limited,1-10,Healthcare,Patna
innovate2automate technologies Pvt Limited,1-10,AI & Machine Learning|Internet of Things,Bangalore
Prabhakar Alok,1-10,Education|Digital Marketing,Patna
Aarca Research Pvt Ltd,1-10,Healthcare,Bangalore
Diagnostics,1-10,Healthcare,Mumbai City
Vicharsity,1-10,Education,Hyderabad
Recipe Kit,1-10,Food Industry,Visakhapatnam
Agrani Foundation,1-10,Healthcare|Education|Agriculture,Patna
LIFEGRAPH BIOMEDICAL INSTRUMENTATION PVT.LTD,1-10,Healthcare,Patna
iEaon Tech Private Limited,1-10,Information Technology,Sambalpur
Weavers Touch,1-10,Handloom Product Sales,Visakhapatnam
Boscoe Solutions Private Limited,1-10,Employment and Empowerment in Rural Areas,Cuttack
SYFT Learn and Excell Private Limited,1-10,Education|Agriculture|Financial Inclusion,Khordha
